url,total_messages,user_messages,assistant_messages,platform
https://chatgpt.com/share/000041fe-540f-49fb-ad63-3e9b2944d131,4,2,2,chatgpt
https://chatgpt.com/share/006c46e5-9d38-49e8-81d2-fe1d0b9c2814,2,1,1,chatgpt
https://chatgpt.com/share/00a5f9b7-7ee1-4641-92bf-999185c23ac7,8,4,4,chatgpt
https://chatgpt.com/share/00d57238-077b-4a03-9593-f4a144362efe,2,1,1,chatgpt
https://chatgpt.com/share/012fb1fe-12cb-46f6-b4ca-52340176fa16,8,4,4,chatgpt
https://chatgpt.com/share/013add5f-890f-48b5-b269-3cf4914bda35,3,2,1,chatgpt
https://chatgpt.com/share/017a5bb9-fbb5-4492-945b-c4144705cfc8,2,1,1,chatgpt
https://chatgpt.com/share/01c45407-a1a3-4834-bae5-6242827f5e38,4,2,2,chatgpt
https://chatgpt.com/share/020b86df-ab71-41e8-bf4e-ff26ffc50ee4,10,5,5,chatgpt
https://chatgpt.com/share/020e4663-8a74-44f1-8dc4-2bfc76c7a8b5,2,1,1,chatgpt
https://chatgpt.com/share/027204bc-8dc7-4a2d-ae3b-a7cee4f3f4d9,10,5,5,chatgpt
https://chatgpt.com/share/02aa1cbc-06ea-451b-bdb3-733ed6624ec9,146,73,73,chatgpt
https://chatgpt.com/share/02de66d8-7362-48ba-a4e3-c91fe526cec4,2,1,1,chatgpt
https://chatgpt.com/share/0300d744-7af1-40c4-972e-475d73697ba5,2,1,1,chatgpt
https://chatgpt.com/share/0359176f-ee72-4247-bd55-cac3dab4fe4b,2,1,1,chatgpt
https://chatgpt.com/share/03644158-50ee-467d-b841-08e34e1bb9fa,6,3,3,chatgpt
https://chatgpt.com/share/036f9bc4-bfdb-4daf-8753-79610b26124c,4,2,2,chatgpt
https://chatgpt.com/share/03cb38a4-a976-4d75-838a-b60e1c7af0eb,2,1,1,chatgpt
https://chatgpt.com/share/04ae2f1a-2239-421c-87c5-c3de3f8b5ff1,6,3,3,chatgpt
https://chatgpt.com/share/04ca89ab-09b1-4520-90b0-dcb9fa5a2437,36,18,18,chatgpt
https://chatgpt.com/share/04ddbfe5-dda7-471c-bc14-e3cb914bed42,2,1,1,chatgpt
https://chatgpt.com/share/0543c7a8-2d32-4852-b4cb-ce1ea434f95b,6,3,3,chatgpt
https://chatgpt.com/share/058cd4c3-38a8-4d35-a4e0-4cab315fca17,2,1,1,chatgpt
https://chatgpt.com/share/0595f004-579a-4a05-9633-2c4e3b91aa5f,20,10,10,chatgpt
https://chatgpt.com/share/05bb7c80-bde8-4f54-9809-67dd1e7b0fd1,2,1,1,chatgpt
https://chatgpt.com/share/062dd466-8644-462e-98e3-400128e47ae9,40,20,20,chatgpt
https://chatgpt.com/share/06372905-176b-4e8f-8bb3-db10f238b08b,8,4,4,chatgpt
https://chatgpt.com/share/06dc11b6-ee34-4d41-9fca-3b1dacad07c1,4,2,2,chatgpt
https://chatgpt.com/share/0716c7a1-c572-417c-b010-02acdd4ddb2c,8,4,4,chatgpt
https://chatgpt.com/share/072cc422-38e1-409c-a241-ec9a9ebe2251,2,1,1,chatgpt
https://chatgpt.com/share/0761d3b5-51d0-45c4-8e09-6f93140fa158,2,1,1,chatgpt
https://chatgpt.com/share/078d456b-fcda-4051-aa02-795dac6f4ffd,4,2,2,chatgpt
https://chatgpt.com/share/07a6f5ba-3d31-4987-b464-685a4e00d54d,6,3,3,chatgpt
https://chatgpt.com/share/07e662bd-c192-46b7-8b1f-46add92c174c,6,3,3,chatgpt
https://chatgpt.com/share/07ee52a6-d665-4dd7-9c7f-c9f68b08b7d5,8,4,4,chatgpt
https://chatgpt.com/share/08252328-fffd-460c-a893-704fffbf7f10,4,2,2,chatgpt
https://chatgpt.com/share/0828b89d-cadc-4b57-bad0-98108a6ee97a,2,1,1,chatgpt
https://chatgpt.com/share/090c31c4-45d4-43cf-8b1b-b2deda3318a0,8,4,4,chatgpt
https://chatgpt.com/share/0963144b-8147-44cd-9e8a-26c44b104262,2,1,1,chatgpt
https://chatgpt.com/share/099a9aea-e24e-4bc0-8718-2526a3788dad,8,4,4,chatgpt
https://chatgpt.com/share/0a822cd0-91cd-4672-aec6-a3a61df60e3f,2,1,1,chatgpt
https://chatgpt.com/share/0a942737-7132-4375-b02a-d66062f94350,4,2,2,chatgpt
https://chatgpt.com/share/0a9fc572-92d9-4e44-bcb5-c605bb5ef48a,10,5,5,chatgpt
https://chatgpt.com/share/0ad5ab14-830d-4393-a6fb-ee73e3e8b49c,10,5,5,chatgpt
https://chatgpt.com/share/0b0983ae-6451-43af-9cce-6e4beb339200,2,1,1,chatgpt
https://chatgpt.com/share/0b1e1685-f777-4a5c-ae8b-d723c58b5c20,6,3,3,chatgpt
https://chatgpt.com/share/0b479d17-a144-4446-b867-55cf094e6286,14,7,7,chatgpt
https://chatgpt.com/share/0b59352a-3f88-42f9-93d8-ce16b690725b,2,1,1,chatgpt
https://chatgpt.com/share/0b7bc8b8-ac6d-4c3b-b32e-e972d5dfe122,2,1,1,chatgpt
https://chatgpt.com/share/0b87e63f-2daf-4359-8df7-fcf6442ee839,2,1,1,chatgpt
https://chatgpt.com/share/0b8e8746-ece9-48e6-a7f7-dcb861f9655e,6,3,3,chatgpt
https://chatgpt.com/share/0be14b08-e580-4ba7-a6c1-0ac32cc3b79c,2,1,1,chatgpt
https://chatgpt.com/share/0bf2cf22-0fef-4d26-977b-7cca43204a2a,2,1,1,chatgpt
https://chatgpt.com/share/0c23e0f2-8c14-44e5-9f3b-596550a600df,12,6,6,chatgpt
https://chatgpt.com/share/0c8869d5-bf01-465e-840a-f2dfcb8fb0c4,18,9,9,chatgpt
https://chatgpt.com/share/0cc57fa8-4c0e-4f14-95ec-0ef79e8f4a2f,4,2,2,chatgpt
https://chatgpt.com/share/0d4d8abc-d7b6-43a2-a81f-6b6e21b7b8eb,2,1,1,chatgpt
https://chatgpt.com/share/0d57da25-b345-48e9-996c-75ee0b76bf1f,20,10,10,chatgpt
https://chatgpt.com/share/0daa9238-dbd0-4999-97a9-5fb54ebab24c,4,2,2,chatgpt
https://chatgpt.com/share/0dde7115-ba4d-4b3f-b0c4-de6188c1f280,44,22,22,chatgpt
https://chatgpt.com/share/0e02fffd-bd10-4743-8da7-2e00b9a92eea,2,1,1,chatgpt
https://chatgpt.com/share/0e533bde-9290-4fd9-9a08-351c9133a6bc,16,8,8,chatgpt
https://chatgpt.com/share/0e934f68-c1f1-46cf-9628-74d61fb88038,2,1,1,chatgpt
https://chatgpt.com/share/0f0ef201-0b6c-4ff0-86ac-3369989f41a1,2,1,1,chatgpt
https://chatgpt.com/share/0f2d11b1-322a-4c47-a877-ad6fbace8179,2,1,1,chatgpt
https://chatgpt.com/share/0f40299f-1ef6-4973-a614-4721f21f09dd,6,3,3,chatgpt
https://chatgpt.com/share/0fa754b6-fb0a-4fc3-ad82-75201b4a2ad4,6,3,3,chatgpt
https://chatgpt.com/share/0faf0f6c-fce3-42ad-856c-8c26a6671682,2,1,1,chatgpt
https://chatgpt.com/share/0fca4235-7dcf-4e19-9cb0-1f1d330bcd86,28,14,14,chatgpt
https://chatgpt.com/share/0fcf731e-4900-4c63-857b-f82bf6c39234,4,2,2,chatgpt
https://chatgpt.com/share/10821835-a24f-4142-a97c-667140127c41,2,1,1,chatgpt
https://chatgpt.com/share/114dddb7-0178-4f28-9c28-2e32812705e5,6,3,3,chatgpt
https://chatgpt.com/share/11638040-662b-4c64-98f5-fbb1dd3e47e1,12,6,6,chatgpt
https://chatgpt.com/share/11780cbe-3937-4cad-a22f-6508020d651d,6,3,3,chatgpt
https://chatgpt.com/share/11aa73fe-dae1-4c3c-a77e-e3f951a68b1f,2,1,1,chatgpt
https://chatgpt.com/share/11b4b72c-973d-49a8-83eb-5b8ade8811af,4,2,2,chatgpt
https://chatgpt.com/share/11c6b4bd-33cd-4a09-8a33-8d92a2c7b6fa,6,3,3,chatgpt
https://chatgpt.com/share/1268a0d1-0ef2-40d8-98fc-1791d6eba4c7,8,4,4,chatgpt
https://chatgpt.com/share/1274b055-fc52-46fd-88a5-b0520a3e3f93,2,1,1,chatgpt
https://chatgpt.com/share/128e62a2-8f83-4fa0-b309-5122777fde39,2,1,1,chatgpt
https://chatgpt.com/share/129f1175-91aa-4e69-b6df-49efb4738421,2,1,1,chatgpt
https://chatgpt.com/share/141dbd3e-4f02-4e27-acea-4e5d085dc47f,16,8,8,chatgpt
https://chatgpt.com/share/142a662e-8d86-4566-a74a-dc6febb4df08,28,14,14,chatgpt
https://chatgpt.com/share/1467ace6-60b3-4345-bd00-db652caf9a1f,2,1,1,chatgpt
https://chatgpt.com/share/14e5e390-b03d-467b-ad0b-15083336cab4,14,7,7,chatgpt
https://chatgpt.com/share/14e83a6e-c8bc-43f2-95d2-3708044ed20e,12,6,6,chatgpt
https://chatgpt.com/share/14f1e330-0323-4708-9a34-7737b1213c1c,4,2,2,chatgpt
https://chatgpt.com/share/14fec50a-649c-4b16-b71d-f701e97bbb26,2,1,1,chatgpt
https://chatgpt.com/share/15044ad2-9687-4ee2-9710-a69503e08bcb,16,8,8,chatgpt
https://chatgpt.com/share/150d0902-20a7-480a-ab5e-16fd51bfb991,6,3,3,chatgpt
https://chatgpt.com/share/15343083-c7d7-4032-9501-93966e460240,2,1,1,chatgpt
https://chatgpt.com/share/155acb60-8fc3-4c34-8c3f-bf63d4b8d85e,6,3,3,chatgpt
https://chatgpt.com/share/15b50f5a-42d8-4a4d-83d2-cc1717be285c,4,2,2,chatgpt
https://chatgpt.com/share/160fe921-de76-40dd-8f2c-379a0dd450c7,2,1,1,chatgpt
https://chatgpt.com/share/161ebf19-a759-421b-9f97-c0d2771bf797,8,4,4,chatgpt
https://chatgpt.com/share/162159d5-a061-494b-9b6b-f3b1eb80450d,2,1,1,chatgpt
https://chatgpt.com/share/165e36f0-1d13-485c-aa08-560888dbad97,10,5,5,chatgpt
https://chatgpt.com/share/16670781-14ff-4e6b-9673-3feb6b0ad6c4,8,4,4,chatgpt
https://chatgpt.com/share/169c5d60-3253-446c-8843-6db596e41426,2,1,1,chatgpt
https://chatgpt.com/share/16b8f18a-b4e2-464d-918f-66b1c6727f5f,2,1,1,chatgpt
https://chatgpt.com/share/16da3d14-1e6e-4fe1-9d6a-c6904cd7916a,8,4,4,chatgpt
https://chatgpt.com/share/16fb7f54-c6d0-4633-b94d-d9da55ef9d0e,22,11,11,chatgpt
https://chatgpt.com/share/174c0e97-f214-4425-b1b2-7df24ef9241c,2,1,1,chatgpt
https://chatgpt.com/share/1767f5ec-f8f5-41f7-a296-79fe0c399388,16,8,8,chatgpt
https://chatgpt.com/share/1798cd70-b2dd-453b-b959-9323f70c030c,8,4,4,chatgpt
https://chatgpt.com/share/18472b98-de4a-4e76-bda8-553482f1cf33,4,2,2,chatgpt
https://chatgpt.com/share/188b2d3a-ae90-49c6-8226-b840588f6fad,18,9,9,chatgpt
https://chatgpt.com/share/18d5cfeb-36bf-4ff1-bfb8-4c5e33025c35,27,14,13,chatgpt
https://chatgpt.com/share/18f44ab6-9a92-4e20-bd7a-653d7837c405,2,1,1,chatgpt
https://chatgpt.com/share/190af89b-1d29-4f08-9db4-6a58a696c7d0,2,1,1,chatgpt
https://chatgpt.com/share/19364a30-0fa7-42f1-83a7-422a8a9702a4,6,3,3,chatgpt
https://chatgpt.com/share/194547e9-8db3-4c04-9a9e-0ebf11d1b701,4,2,2,chatgpt
https://chatgpt.com/share/194af034-144e-4d54-9feb-53cbc4c17164,4,2,2,chatgpt
https://chatgpt.com/share/19e8f60f-def3-4cf1-871d-c61aa7a2e19f,4,2,2,chatgpt
https://chatgpt.com/share/19ef3d50-d826-49d7-b012-5939c5ff033c,4,2,2,chatgpt
https://chatgpt.com/share/1a17a588-8f9b-4205-85f1-6d0055e4b676,26,13,13,chatgpt
https://chatgpt.com/share/1a78d6b1-db1a-4d5b-8463-f2e4247e902a,2,1,1,chatgpt
https://chatgpt.com/share/1aac8116-b2ee-4e1e-8900-015b7302d633,2,1,1,chatgpt
https://chatgpt.com/share/1aaf3863-ebcd-4fdb-bf49-544b5da3c3c1,2,1,1,chatgpt
https://chatgpt.com/share/1b3d2271-f7ca-41f2-819f-5a422ae03ff1,2,1,1,chatgpt
https://chatgpt.com/share/1b408c9d-0ecb-448b-84cf-19d9b1176a83,2,1,1,chatgpt
https://chatgpt.com/share/1b46b6ca-d7a5-49c2-b823-06d1dbbf8bf9,8,4,4,chatgpt
https://chatgpt.com/share/1b886196-3de2-4ac4-a719-7c12f70d88b8,126,63,63,chatgpt
https://chatgpt.com/share/1bb9ddb1-fbb8-40b4-b4f2-abbd4a052e56,30,15,15,chatgpt
https://chatgpt.com/share/1bfd1b2f-788b-43dc-855f-f8b39b3d7e49,8,4,4,chatgpt
https://chatgpt.com/share/1c0153db-3bab-47c7-ab19-96191cf09913,2,1,1,chatgpt
https://chatgpt.com/share/1c8902d3-3d2e-4361-ba68-b6042a8e8e06,4,2,2,chatgpt
https://chatgpt.com/share/1cd95e4e-d07c-4466-9935-b7880220148b,2,1,1,chatgpt
https://chatgpt.com/share/1ce6d739-87fc-44a6-b374-b6dc421f5701,2,1,1,chatgpt
https://chatgpt.com/share/1d0d0d73-d3ca-4e1a-b2b1-ada8a990f06f,70,35,35,chatgpt
https://chatgpt.com/share/1d1182c4-4821-4eba-9be5-ce052d4d6c6c,4,2,2,chatgpt
https://chatgpt.com/share/1d3fa32a-ab41-4747-b09e-54366847575a,12,6,6,chatgpt
https://chatgpt.com/share/1d4a3ff4-a9ed-45ef-b04d-d89b935cf2fc,2,1,1,chatgpt
https://chatgpt.com/share/1d814bac-419d-49bf-962d-5800bbf34665,2,1,1,chatgpt
https://chatgpt.com/share/1e207cb0-180c-4841-b209-f182e84163df,2,1,1,chatgpt
https://chatgpt.com/share/1e443f88-c9a9-4bd3-bcfc-3376d9ace0f6,4,2,2,chatgpt
https://chatgpt.com/share/1e8203b7-540a-4919-b50b-ed42251986a9,8,4,4,chatgpt
https://chatgpt.com/share/1ea569b6-860d-49fc-85dc-59da42f39db5,2,1,1,chatgpt
https://chatgpt.com/share/1ecb9b43-c03a-42f6-ad9c-0ffc62f71166,6,3,3,chatgpt
https://chatgpt.com/share/1f6ec379-3810-4f8d-9f75-9932936db5bd,2,1,1,chatgpt
https://chatgpt.com/share/1fc7a419-3baa-41f2-af65-72a5a527b47d,24,12,12,chatgpt
https://chatgpt.com/share/1fc7d7cd-d6db-4327-8656-e3135e0721bc,38,19,19,chatgpt
https://chatgpt.com/share/202a19ed-2c97-44a7-b733-154cf56dc60f,4,2,2,chatgpt
https://chatgpt.com/share/2037994c-f00e-4268-a4d1-085f8b1fee51,4,2,2,chatgpt
https://chatgpt.com/share/203c7765-4a02-433b-9a14-25bbcb9648a5,2,1,1,chatgpt
https://chatgpt.com/share/204f4e1d-ea56-4ab8-8c50-b739f3bf8b9b,2,1,1,chatgpt
https://chatgpt.com/share/2111950e-dff9-4c82-bac8-38dc38edbefb,2,1,1,chatgpt
https://chatgpt.com/share/211a98cc-225b-46c1-8602-ca7ac1b4945b,10,5,5,chatgpt
https://chatgpt.com/share/21d607d3-e215-429b-be00-ed761de81096,2,1,1,chatgpt
https://chatgpt.com/share/21f7dba1-163f-4b44-9831-58e994a197fe,8,4,4,chatgpt
https://chatgpt.com/share/21f87864-79a1-48cc-a4c5-a363ecc377Ca,4,2,2,chatgpt
